structure,force,seed,status,steps,frames,r_mean_over_R,r_sd_over_R,Rg_mean_over_R,Gzz_mean,Gperp_mean,stretch_mean,clearance_min_over_R,clearance_p01_over_R
n2,0.003,105,done,4000001,2001,0.37306338147411133,0.03555835897762677,0.12393050593413851,9.027145935364711,5.444903242799972,1.6579075022686016,0.41438948683000265,0.43217376667295526
n2,0.005,101,done,4000001,2001,0.20565908004936137,0.07057385811894976,0.12332209183585835,8.653911878757286,5.536825592491398,1.5629735367668134,0.5324075302311553,0.5469676469091689
n2,0.005,102,done,4000001,2001,0.22180890005825768,0.03768691330901143,0.1242680623996702,9.002704855742723,5.511829023067426,1.6333425471047296,0.5264765291695278,0.5432207572267258
n2,0.005,103,done,4000001,2001,0.26775984181776236,0.061255814913732345,0.12557228015430946,9.592904977017724,5.4292110767496675,1.7669058803218893,0.48362278904982703,0.5003022733045196
n2,0.005,104,done,4000001,2001,0.2054573344375013,0.04234946286328807,0.12395881566862504,8.840600551607467,5.542820624661386,1.5949642159216626,0.5657363876657748,0.5764834507563585
n2,0.005,105,done,4000001,2001,0.2534370708328144,0.06095454765582366,0.12507150987721982,9.431686055678318,5.4295083503604324,1.7371160420173597,0.48942217837716406,0.5100476584927951
n2,0.01,101,done,4000001,2001,0.14704635116012194,0.0398232002747593,0.1261017005340519,9.913109687780748,5.357149562307767,1.8504448256453667,0.6194847079087823,0.6395227308807387
n2,0.01,102,done,4000001,2001,0.15670257612192845,0.027896794726718004,0.12675089945547696,10.103992042049628,5.367010282382584,1.8826108970233144,0.6453220164303151,0.6610707825702233
n2,0.01,103,done,4000001,2001,0.14818082538637112,0.02256835310657905,0.1262030803330047,9.986052303923968,5.3357033999291135,1.8715531122019706,0.632389324551945,0.657473710850122
n2,0.01,104,done,4000001,2001,0.17576988850404093,0.03599225487262062,0.12747733570220063,10.53475441730104,5.272753959825477,1.9979605529801223,0.6090371790000141,0.6363858501942311
n2,0.01,105,done,4000001,2001,0.15458118697027848,0.03635347498671424,0.12649148295098386,9.958054536777041,5.397509339169748,1.8449351193357644,0.6220718933993619,0.6456835676519094
n2,0.0,101,done,4000001,2001,0.17323857476576177,0.04497879032477761,0.11900358916475977,6.167579899117968,6.096306688313779,1.0116912114905268,0.5264745365419068,0.545599230580527
n2,0.0,102,done,4000001,2001,0.4136390879038518,0.04511529540612545,0.11916256928107509,6.1654156906730355,6.122006836409407,1.0070906249247327,0.3184748633219431,0.3436122328108248
n2,0.0,103,done,4000001,2001,0.09263311379857841,0.04735922542443925,0.11867517540010684,5.954596236441067,6.151863198767619,0.9679337859193505,0.6150510048348121,0.6618947335560803
n2,0.0,104,done,4000001,2001,0.2325757097949623,0.06836315772665005,0.11881679980408924,5.945136141099365,6.178432481794233,0.9622402055242468,0.47160983559994357,0.4945613638775236
n2,0.0,105,done,4000001,2001,0.1458454325060956,0.05106393904488649,0.11918383898229447,6.170515841591881,6.122608121706912,1.007824724191496,0.5906420321116587,0.6052102013992646
n3,0.001,101,done,4000001,2001,0.296891044273504,0.06706306975494451,0.16625477925356794,13.329621883146348,11.249817459791608,1.184874504034243,0.32358950790663094,0.3700059533161151
n3,0.001,102,done,4000001,2001,0.06948293875787326,0.03131847210675461,0.16504100050506093,11.843071319313518,11.731752349125076,1.0094886907663665,0.582780281995225,0.6038790285457509
n3,0.001,103,done,4000001,2001,0.3806408427335344,0.02752486349989199,0.16758174975360188,13.939335755740755,11.232041765056621,1.2410331128848404,0.3414649722305245,0.3604591183197242
n3,0.001,104,done,4000001,2001,0.21040939690268579,0.02255972458053164,0.16560904191150339,12.51727133104463,11.51615403977303,1.0869315648100981,0.49670244977310485,0.5281286136755338
n3,0.001,105,done,4000001,2001,0.26017666191258604,0.07983249772949631,0.1662997491585213,13.158029123993018,11.345857241597969,1.1597210192061098,0.3747062587046968,0.4063861260706735
n3,0.003,101,done,4000001,2001,0.27668198235546804,0.03435360824040189,0.1722064411668224,17.048559701146853,10.698325464565551,1.5935727285185168,0.41255260511714287,0.44778189877828467
n3,0.003,102,done,4000001,2001,0.2919005555979394,0.03551504257186128,0.1722271931885051,17.149165682020335,10.653159536554828,1.6097727273467906,0.4243057076673572,0.4512237024573092
n3,0.003,103,done,4000001,2001,0.30170024748516,0.03154572420189296,0.1726720582439124,17.277370960115153,10.68801133455881,1.6165187722294219,0.41172927052946157,0.4419550796162182
n3,0.003,104,done,4000001,2001,0.3151164973451397,0.03872403461549607,0.1733006895232613,17.60289474673334,10.665625831888404,1.6504324288316665,0.410267255728485,0.42754603645711714
n3,0.003,105,done,4000001,2001,0.32152052506505474,0.02559320568704184,0.1728627290089453,17.518212236794188,10.61193139643135,1.6508033818127892,0.4028274117511466,0.4277950775043422
n3,0.005,101,done,4000001,2001,0.22505434570405583,0.02282495379412378,0.17483017901625802,18.63675706208123,10.4979652422385,1.7752732679182772,0.5201169824710019,0.5353467709087397
n3,0.005,102,done,4000001,2001,0.19505096116324439,0.02611721988402836,0.1737623393678677,17.89901488138963,10.622682587701116,1.6849806754193155,0.5278026984568598,0.5525219772500833
n3,0.005,103,done,4000001,2001,0.23025981041750354,0.023216945318679502,0.17551527570596454,18.984010775031773,10.476570832935657,1.8120443299396118,0.5159262481498987,0.5356444979447169
n3,0.005,104,done,4000001,2001,0.19048038869747272,0.036893216810170965,0.1735016872370841,17.747780882746863,10.640426460983717,1.6679576657781876,0.5284972181065554,0.5537079917223866
n3,0.005,105,done,4000001,2001,0.20393103406561675,0.022527953483178056,0.17355020331478635,18.131154234057803,10.458335925797748,1.7336557519952471,0.5242818706758774,0.5556521508619556
n3,0.01,101,done,4000001,2001,0.10727444145172754,0.032361603965138895,0.17492247354123835,18.31074645225287,10.683812428033251,1.7138775671694977,0.5987809738751293,0.6247789225816709
n3,0.01,102,done,4000001,2001,0.11829649158577205,0.03198214167486253,0.1756881269458335,18.97426975017299,10.52692143961232,1.8024519190172437,0.6093512016336933,0.6345443199226921
n3,0.01,103,done,4000001,2001,0.11497844798409457,0.03248110252571948,0.17469321183307535,18.50470000751549,10.5375649433441,1.7560698422270427,0.6318701942287347,0.6497061161872354
n3,0.01,104,done,4000001,2001,0.08866063845770102,0.03155923852280676,0.17278604678587695,16.966356564644123,10.876510529138637,1.559908071544686,0.6474081865010044,0.6699632072607407
